Składnik;Funckja;Zastrzeżenia
Triclosan;Środek antybakteryjny i przeciwgrzybiczy;Podrażnienia, akumulacja w tkance tłuszczowej człowieka, negatywny wpływ na układ nerwowy oraz tarczycę, potencjalne działanie kancerogenne, podejrzenie o zwiększenie odporności organizmu na działanie antybiotyków
Triklosan;Środek antybakteryjny i przeciwgrzybiczy;Podrażnienia, akumulacja w tkance tłuszczowej człowieka, negatywny wpływ na układ nerwowy oraz tarczycę, potencjalne działanie kancerogenne, podejrzenie o zwiększenie odporności organizmu na działanie antybiotyków
TEA;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
TEOA, 2,2',2''-Nitrilotriethanol;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
Tris(2-hydroxyethyl)amine;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
Triethylolamine, 2,2′,2″;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
Trihydroxytriethylamine;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
Trolamine;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Tworzenie rakotwórczych N-nitrozoamin w odpowiednich warunkach, nie powinien być stosowany na chorobowo zmienioną skórę
Triethanolamine;Regulator pH, surfaktant (detergent, emulgator, środek pianotwórczy) oraz jako składnik kompozycji zapachowych.;Możliwość skażenia tlenkiem etylenu oraz 1,4-dioksanem, alergie, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Ceteareth;Grupa emolientów, środków konsystencjotwórczych;Możliwość skażenia tlenkiem etylenu oraz 1,4-dioksanem, alergie, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Steareth;Grupa emolientów, środków konsystencjotwórczych;Możliwość skażenia tlenkiem etylenu oraz 1,4-dioksanem, alergie, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Laureth;Grupa emolientów, środków konsystencjotwórczych;Możliwość skażenia tlenkiem etylenu oraz 1,4-dioksanem, alergie, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
